question_id,source,question,ground_truth,qwen3-32b_answer,qwen3-32b_correct,deepseek-r1-0528-qwen3-8b_answer,deepseek-r1-0528-qwen3-8b_correct,gemma-3-27b-it_answer,gemma-3-27b-it_correct
10,cross_model_verified,"A manufacturer monitors the defect rate in production batches. Historical data from 20 batches (each containing 100 items) showed a total of 45 defective items. A new production method is implemented, and the first batch under the new method has 100 items with 1 defective item.

Using beta-binomial Bayesian methodology:
(a) Starting with a non-informative prior (Beta(1,1)), calculate the posterior distribution parameters using the historical data.
(b) Using the posterior from part (a) as the prior, calculate the new posterior distribution after observing the first batch from the new method.
(c) Compute the Bayesian point estimate for the defect rate under the new method and compare it to the classical MLE estimate using only the new batch data.
(d) Calculate a 95% Bayesian credibility interval for the new defect rate.

##","(a) Posterior from historical data: Beta(46, 1956)

(b) Posterior after new batch: Beta(47, 2055)

(c) Bayesian estimate: p̂ = 47/2102 = 0.0224 (2.24%); Classical MLE: p̂ = 1/100 = 0.01 (1.0%)

(d) 95% Bayesian credibility interval: (0.0157, 0.0305) or (1.57%, 3.05%)",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"46, 1956, 47, 2055, 0.02235, 0.01, 0.0084, 0.0384",False
11,cross_model_verified,"A reliability engineer is comparing two suppliers for a critical electronic component. A sample of 25 components from Supplier A was tested for 1,000 hours each, resulting in 3 failures. A sample of 30 components from Supplier B was tested for 1,000 hours each, resulting in 8 failures. Both suppliers claim their components follow an exponential failure distribution.

(a) Calculate the estimated MTTF for each supplier's components.
(b) Using a chi-square test at the 90% confidence level, determine if Supplier A's MTTF is statistically better than 8,000 hours (their specification claim).
(c) What is the probability that a component from Supplier B will survive at least 500 hours?

Note: For chi-square distribution, χ²₀.₀₅,₆ = 12.59 and χ²₀.₉₅,₆ = 1.64; χ²₀.₀₅,₁₆ = 26.30 and χ²₀.₉₅,₁₆ = 7.96.

##","(a) Supplier A: MTTF = 8,333 hours; Supplier B: MTTF = 3,750 hours; (b) Supplier A's claim is statistically supported (χ² = 6.25 > χ²_crit = 1.64); (c) P(survival ≥ 500 hours) = 87.5%",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"8333.33, 3750, Fail to reject the null hypothesis, 0.875",False
12,cross_model_verified,"A semiconductor device has a lifetime that follows a lognormal distribution with a shape parameter σ = 3.5. The manufacturer guarantees that 95% of devices will survive beyond 10,000 hours of operation. Calculate: (a) the median lifetime T₅₀ that satisfies this guarantee, and (b) the expected cumulative percent fallout at 5,000 hours under this design.

##","**(a) Median lifetime T₅₀ = 3,169,000 hours (approximately 3.17 million hours)**

**(b) Expected cumulative percent fallout at 5,000 hours = 3.3%**",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"3203480, 3.07",False
13,cross_model_verified,"A reliability test is conducted on 8 identical components under accelerated stress conditions. At the end of the test, exactly 3 components have failed and 5 have survived. 

(a) How many different failure patterns are possible?

(b) If we label the components as A, B, C, D, E, F, G, H, and we know that component A survived, how many different failure patterns are now possible?

(c) What is the probability that components A and B both survive, assuming all failure patterns are equally likely?

##","(a) **56 different failure patterns**

(b) **35 different failure patterns**

(c) **5/14 or 35.71%**","56, 35, 5/14",False,UNABLE_TO_EXTRACT,False,"56, 35, 5/14",False
14,cross_model_verified,"A manufacturer conducts a reliability study on electronic modules using a defect model approach. A sample of n = 200 modules is tested with inspections at 500 hours, 1,000 hours, and 2,000 hours (end of test). The failure data collected shows:
- 12 failures discovered at T₁ = 500 hours
- 8 failures discovered at T₂ = 1,000 hours  
- 5 failures discovered at T₃ = 2,000 hours
- 175 modules survived to the end of test

Assume the defective subpopulation follows an exponential distribution with failure rate λ, and let p represent the fraction of defective modules in the population.

(a) Write the specific likelihood function for this data.

(b) Derive the maximum likelihood estimate (MLE) for the fraction defective, p.

(c) If the estimated failure rate is λ̂ = 0.0015 per hour, calculate the numerical MLE for p.

##","(a) **Likelihood function:**
$$L(p, \lambda) = C \cdot p^{25} \cdot (1-e^{-500\lambda})^{12} \cdot (e^{-500\lambda}-e^{-1000\lambda})^{8} \cdot (e^{-1000\lambda}-e^{-2000\lambda})^{5} \cdot [1-p(1-e^{-2000\lambda})]^{175}$$

(b) **MLE for fraction defective:**
$$\hat{p} = \frac{r}{n \cdot F(T_k; \hat{\lambda})} = \frac{25}{200(1-e^{-2000\lambda})}$$

(c) **Numerical MLE:** 
$$\hat{p} = 0.1315 \text{ or } 13.15\%$$",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False
15,cross_model_verified,"A power supply unit has a constant failure rate of λ = 0.004 failures per 1000 hours. The unit operates continuously and is replaced upon failure (renewal process). For a mission duration of 50,000 hours:

(a) What is the probability that exactly 3 failures will occur during the mission?
(b) What is the minimum number of spare power supplies needed to ensure at least 99% confidence that spares will not be exhausted during the mission?
(c) If the system has already operated for 20,000 hours with 1 failure, what is the probability of having 2 or more additional failures in the remaining 30,000 hours?

##","(a) 0.00109 or 0.109%
(b) 2 spare units
(c) 0.0067 or 0.67%",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"0.001098, 2, 0.0067",False
16,cross_model_verified,"A manufacturer conducts an accelerated life test on 300 LED light bulbs for 2500 hours. Assuming exponentially distributed failure times, failures are observed at the following times (in hours): 145, 389, 672, 891, 1205, 1456, 1823, and 2187. Using the chi-squared distribution method, calculate the 90% two-sided confidence interval for the Mean Time To Failure (MTTF). Also calculate the point estimate of the MTTF and interpret all results.

##","**Point Estimate of MTTF: 92,346 hours**

**90% Confidence Interval for MTTF: (56,185 hours, 185,590 hours)**",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"1096.43, 8025.65, 1133.08",False
17,cross_model_verified,"A quality control inspector has a box containing 20 electronic components: 5 are defective and 15 are functional. Due to a labeling error, the components are not marked. The inspector randomly selects 3 components for installation in a critical system. What is the probability that exactly 2 of the selected components are functional? What is the probability that at least 2 of the selected components are functional?

##","Probability of exactly 2 functional: **35/76 ≈ 0.4605**

Probability of at least 2 functional: **49/57 ≈ 0.8596**",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"0.4605, 0.8596",False
18,cross_model_verified,"A reliability engineer is testing power supply units that follow a Weibull distribution with a shape parameter β = 1.5. The specification requires that the average failure rate over the first 5,000 hours of operation must not exceed 200 FITs. What is the minimum characteristic life (η) required to meet this specification? Additionally, what would be the instantaneous failure rate at exactly t = 5,000 hours for this minimum characteristic life?

##","Minimum characteristic life: η = 5.0 × 10⁵ hours (500,000 hours)

Instantaneous failure rate at t = 5,000 hours: h(5000) = 300 FITs",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"92.84, Approaching infinity",False
19,cross_model_verified,"A communication system component has a reliability function (survival function) given by $R(t) = e^{-0.5t}$ for $t \geq 0$, where $t$ is measured in years. Find:
1. The cumulative distribution function (CDF) F(t)
2. The probability density function (PDF) f(t)
3. The hazard rate function h(t)
4. The mean time to failure (MTTF)
5. The design life $T_{90}$ (time by which 10% of units will have failed)

##","F(t) = 1 - e^(-0.5t), f(t) = 0.5e^(-0.5t), h(t) = 0.5 (constant hazard rate), MTTF = 2 years, and T₉₀ = 0.211 years.","$1 - e^{-0.5t}$, $0.5e^{-0.5t}$, 0.5, 2, 0.2107",True,UNABLE_TO_EXTRACT,False,"$1 - e^{-0.5t}$, $0.5e^{-0.5t}$, $0.5$, $2$, $0.2107$",True
20,cross_model_verified,"A quality control system uses two independent inspection methods to detect faulty products. Method 1 (visual inspection) has a probability of 0.85 of detecting a fault when one exists. Method 2 (automated testing) has a probability of 0.75 of detecting a fault when one exists. A product with a fault goes through both inspections independently.

1. What is the probability that at least one method detects the fault?
2. What is the probability that both methods detect the fault?
3. Given that at least one method detected a fault, what is the probability that both methods detected it?
4. Are the events ""Method 1 detects the fault"" and ""Method 2 detects the fault"" independent? Prove your answer.

##","1. P(at least one detects) = 0.9625 or 96.25%
2. P(both detect) = 0.6375 or 63.75%
3. P(both | at least one) = 0.6623 or 66.23%
4. Yes, the events are independent because P(M₁∩M₂) = 0.6375 = P(M₁)×P(M₂) = 0.85 × 0.75.","0.9625, 0.6375, 51/77, True",False,UNABLE_TO_EXTRACT,False,"0.9625, 0.6375, 0.6610, True",False
21,cross_model_verified,"Electronic control units in automotive applications are found to have lifetimes that follow a Weibull distribution with a shape parameter (β) of 2.5 and a characteristic life (η) of 150,000 hours. 

(a) Calculate the expected cumulative percent failure at 50,000 hours of operation.

(b) If a manufacturer wants to offer a warranty period during which no more than 1% of units are expected to fail, what should be the maximum warranty period in hours?

##","(a) Expected cumulative percent failure at 50,000 hours: **6.21%**

(b) Maximum warranty period for 1% failure rate: **23,790 hours** (approximately 24,000 hours)","0.068, 19000",False,UNABLE_TO_EXTRACT,False,"2.34, 3786",False
22,cross_model_verified,"A data center has backup generators that activate automatically when power failures occur. Power failures follow a Poisson process with a rate of 0.5 failures per month. Each generator activation lasts for 15 minutes on average. 

(a) What is the probability that exactly 2 power failures occur in a 3-month period?

(b) What is the variance of the number of power failures in a 6-month period?

(c) Given that no power failures have occurred in the first month, what is the probability that the first failure occurs after month 2 (i.e., more than 2 months from the start)?

##","(a) 0.251, (b) 3, (c) 0.607","0.2506, 3, 0.6065",True,UNABLE_TO_EXTRACT,False,"0.2510, 3, 0.3679",False
23,cross_model_verified,"A manufacturing system consists of 5 independent subsystems connected in series. Each subsystem contains 3 identical components in parallel (so each subsystem is a parallel configuration, and the 5 subsystems are in series). Each individual component has a reliability described by the exponential distribution with MTTF = 2000 hours.

(a) What is the reliability of a single subsystem at t = 500 hours?

(b) What is the reliability of the entire manufacturing system at t = 500 hours?

(c) What is the MTTF of a single subsystem?

##","(a) 0.989, (b) 0.947, (c) 3667 hours","0.9999999999999999, 0.9999999999999999, 3666.67",False,UNABLE_TO_EXTRACT,False,"0.9892, 0.9463, 666.67",False
24,cross_model_verified,"A reliability test is conducted on 50 identical electronic modules. The modules are tested until 8 failures occur. The failure times (in hours) of the 8 failed units are: 1240, 1580, 2130, 2890, 3420, 4180, 5240, and 6870 hours. Assuming an exponential failure distribution, estimate the Mean Time Between Failures (MTBF) for this population. What is the reliability at 3000 hours?

##","MTBF = 39,511 hours; R(3000) = 0.927 (or 92.7%)",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"3443.75, 0.4186",False
25,cross_model_verified,"A semiconductor device has a lognormal failure distribution with a median life (t₅₀) of 85,000 hours and a shape parameter σ = 0.45. A manufacturer wants to offer a warranty period such that no more than 2% of devices fail during the warranty period. What should be the maximum warranty period in hours?

##","33,700 hours (or 3.85 years)",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,236879,False
26,cross_model_verified,"A sensor system processes incoming signals where the output voltage Y (in volts) is related to the input current X (in milliamps) by the transformation Y = -0.5X + 15. The input current X follows a normal distribution with mean 12 mA and standard deviation 3 mA.

(a) Determine the mean and standard deviation of the output voltage Y.
(b) Calculate the probability that the output voltage falls below 7 volts.
(c) Quality control requires that the output voltage be between 8 and 10 volts. What is the probability that a randomly selected signal meets this specification?
(d) If 5 independent signals are processed, what is the probability that their average output voltage is less than 8.5 volts?

##","(a) Mean of Y: **9 volts**; Standard deviation of Y: **1.5 volts**

(b) P(Y < 7) = **0.0912 or 9.12%**

(c) P(8 < Y < 10) = **0.4950 or 49.50%**

(d) P(Ȳ₅ < 8.5) = **0.2280 or 22.80%**",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"9, 1.5, 0.0918, 0.4972, 0.2266",False
27,cross_model_verified,"A component follows a lognormal distribution for its time-to-failure. Reliability testing shows that 10% of components fail by 500 hours and 30% fail by 1,200 hours. Determine the parameters μ and σ of the underlying normal distribution, and calculate the B₁₀ life (time by which 10% fail) to verify your results.

##","μ = 7.70, σ = 1.16, B₁₀ = 500 hours",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"7.697, 1.155, 500",True
28,cross_model_verified,"A reliability test plan requires testing n units to failure with zero failures allowed (c = 0 acceptance number) to demonstrate a reliability of R = 0.95 at 1,000 hours with 90% confidence. Assuming an exponential failure distribution:
(a) Determine the minimum sample size n required.
(b) If the test is conducted and all n units survive 1,000 hours, what is the demonstrated MTTF (Mean Time To Failure) at 90% confidence?
(c) What would be the demonstrated reliability at 500 hours with the same confidence level?

##","(a) n = 45 units; (b) MTTF = 19,544 hours; (c) R(500 hours) = 97.5%",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"45, 45489, 0.9891",False
29,cross_model_verified,"A satellite system consists of 3 redundant power modules configured in a 2-out-of-3 system (the system works if at least 2 out of 3 modules are functioning). Each power module has an identical reliability of R = 0.92 for a 5-year mission. 
(a) What is the overall system reliability for the 5-year mission?
(b) If the design is changed to require all 3 modules working (series configuration), what would each module's reliability need to be to achieve the same system reliability as in part (a)?

##","(a) 0.9818 or 98.18%
(b) 0.9939 or 99.39%","0.979712, 0.99319",False,UNABLE_TO_EXTRACT,False,"0.982592, 0.99415",False
